                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.73276,                0.53274,                0.97872,                0.70955,                0.70477,                0.72029,                0.49818,                 1.0904,                 1.0495,                 1.2925,             0.00023121,             0.00023121,             0.00023121
                     89,                0.72954,                0.52204,                0.98402,                0.77449,                0.70929,                0.74024,                0.50625,                 1.0867,                 0.9825,                 1.2765,             0.00021471,             0.00021471,             0.00021471
                     90,                0.73581,                 0.5357,                0.99156,                0.74289,                0.66941,                0.71993,                 0.4965,                 1.0979,                 1.0462,                   1.29,             0.00019821,             0.00019821,             0.00019821
                     91,                0.68212,                0.46656,                0.95837,                0.76688,                0.68637,                0.73269,                0.50406,                 1.1068,                0.97924,                 1.3126,              0.0001817,              0.0001817,              0.0001817
                     92,                0.63385,                0.42688,                0.93453,                0.77204,                0.69968,                0.73904,                0.51532,                 1.0943,                0.96995,                 1.3131,              0.0001652,              0.0001652,              0.0001652
                     93,                0.65498,                0.43484,                0.94322,                0.77834,                0.65563,                0.72248,                0.50999,                 1.0965,                0.98195,                 1.3074,              0.0001487,              0.0001487,              0.0001487
                     94,                0.65153,                0.42087,                 0.9467,                0.80216,                0.65831,                0.72094,                0.50527,                 1.1059,                0.98978,                 1.3124,             0.00013219,             0.00013219,             0.00013219
                     95,                0.63424,                0.41583,                0.93684,                0.79654,                0.66035,                0.72214,                 0.5103,                  1.078,                0.96041,                 1.2886,             0.00011569,             0.00011569,             0.00011569
                     96,                0.61904,                0.40633,                 0.9327,                0.76184,                  0.691,                0.72569,                0.51065,                 1.0811,                0.95685,                 1.2846,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.61817,                0.40079,                0.92554,                0.75263,                0.70539,                0.73133,                 0.5172,                 1.0742,                0.95559,                 1.2786,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.61905,                  0.401,                0.93327,                0.75866,                0.70852,                0.72989,                0.51496,                 1.0802,                0.97173,                 1.2867,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.61724,                0.39584,                0.92834,                0.76341,                0.70148,                  0.733,                0.51923,                 1.0817,                0.97747,                 1.2936,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.60457,                 0.3979,                0.92271,                0.76397,                 0.6957,                0.73079,                0.51739,                 1.0775,                0.98263,                  1.287,             3.3173e-05,             3.3173e-05,             3.3173e-05
